nm,r
380,0.574163

390,0.576584

400,0.567416

410,0.542302

420,0.525524

430,0.521015

440,0.530456

450,0.655626

460,0.710584

470,0.729242

480,0.740643

490,0.746908

500,0.754118

510,0.754408

520,0.752628

530,0.746963

540,0.732129

550,0.724019

560,0.730111

570,0.741019

580,0.752281

590,0.770081

600,0.810074

610,0.829349

620,0.838587

630,0.844419

640,0.847461

650,0.849748

660,0.850458

670,0.852506

680,0.854147

690,0.856046

700,0.857298

710,0.857849

720,0.857586

730,0.857092

740,0.857344

750,0.857753

760,0.858181

770,0.857821

780,0.857428

